Reaction.Time,Tempo
1.5500290394,140 bpm
1.5510499477,140 bpm
1.5665891171,140 bpm
1.5667159557,140 bpm
1.5669381619,140 bpm
1.5767850876,140 bpm
1.5833261013,140 bpm
1.5836350918,140 bpm
1.5999090672,140 bpm
1.6000859737,140 bpm
1.6115128994,140 bpm
1.6126348972,140 bpm
1.6166861057,140 bpm
1.6170330048,140 bpm
1.6289479733,140 bpm
1.6328339577,140 bpm
1.6330578327,140 bpm
1.6333088875,140 bpm
1.6336770058,140 bpm
1.6426780224,140 bpm
1.6479370594,140 bpm
1.649930954,140 bpm
1.6501550674,140 bpm
1.6502079964,140 bpm
1.6502938271,140 bpm
1.6579470635,140 bpm
1.6612999439,140 bpm
1.6617920399,140 bpm
1.665719986,140 bpm
1.6817240715,140 bpm
1.683316946,140 bpm
1.6833310127,140 bpm
1.6834578514,140 bpm
1.6995120049,140 bpm
1.7000949383,140 bpm
1.7004070282,140 bpm
1.7029418945,140 bpm
1.7101390362,140 bpm
1.7156229019,140 bpm
1.716354847,140 bpm
1.7164788246,140 bpm
1.716547966,140 bpm
1.7168462277,140 bpm
1.7168838978,140 bpm
1.7325708866,140 bpm
1.7333362103,140 bpm
1.7335050106,140 bpm
1.7478880882,140 bpm
1.7493197918,140 bpm
1.749694109,140 bpm
1.7499320507,140 bpm
1.7500879765,140 bpm
1.7646901608,140 bpm
1.7663679123,140 bpm
1.7665629387,140 bpm
1.783066988,140 bpm
1.7832369804,140 bpm
1.8152749538,140 bpm
1.8166241646,140 bpm
1.8274600506,140 bpm
1.8310439587,140 bpm
1.8332829475,140 bpm
1.8333199024,140 bpm
1.8499338627,140 bpm
1.8528101444,140 bpm
1.8606879711,140 bpm
1.8623878956,140 bpm
1.8665530682,140 bpm
1.8668889999,140 bpm
1.8670089245,140 bpm
1.8748340607,140 bpm
1.8830821514,140 bpm
1.8833360672,140 bpm
1.8833777905,140 bpm
1.8835120201,140 bpm
1.8837029934,140 bpm
1.8998830319,140 bpm
1.8999660015,140 bpm
1.9000251293,140 bpm
1.902971983,140 bpm
1.9109890461,140 bpm
1.9154908657,140 bpm
1.9163498879,140 bpm
1.9272530079,140 bpm
1.9311141968,140 bpm
1.9333360195,140 bpm
1.9354410172,140 bpm
1.9499790669,140 bpm
1.9500789642,140 bpm
1.9525351524,140 bpm
1.9612810612,140 bpm
1.9666080475,140 bpm
1.9783079624,140 bpm
1.9832320213,140 bpm
1.9832589626,140 bpm
1.9833159447,140 bpm
1.994792223,140 bpm
2.0000469685,140 bpm
2.0000729561,140 bpm
2.0329887867,140 bpm
2.0498130322,140 bpm
2.0512769222,140 bpm
2.0664319992,140 bpm
2.0665581226,140 bpm
2.0830769539,140 bpm
2.0830969811,140 bpm
2.0831270218,140 bpm
2.0831689835,140 bpm
2.0832180977,140 bpm
2.083521843,140 bpm
2.0836100578,140 bpm
2.1119761467,140 bpm
2.1288151741,140 bpm
2.1331329346,140 bpm
2.1499459744,140 bpm
2.1501698494,140 bpm
2.1835489273,140 bpm
2.1988899708,140 bpm
2.1998698711,140 bpm
2.2168600559,140 bpm
2.2333550453,140 bpm
2.2334971428,140 bpm
2.2499730587,140 bpm
2.2665579319,140 bpm
2.2831881046,140 bpm
2.3165249825,140 bpm
2.3335540295,140 bpm
2.3499081135,140 bpm
2.3999779224,140 bpm
2.4015929699,140 bpm
2.4164640904,140 bpm
2.432942152,140 bpm
2.4610111713,140 bpm
2.461234808,140 bpm
2.5165820122,140 bpm
2.5661981106,140 bpm
2.5900480747,140 bpm
2.6165471077,140 bpm
2.6478209496,140 bpm
2.6664910317,140 bpm
2.6935431957,140 bpm
2.7164621353,140 bpm
2.7165439129,140 bpm
2.7666599751,140 bpm
2.7984769344,140 bpm
2.7994949818,140 bpm
2.9666931629,140 bpm
3.0159888268,140 bpm
3.0528130531,140 bpm
3.1331110001,140 bpm
3.2167799473,140 bpm
3.2496261597,140 bpm
3.2500779629,140 bpm
3.2664380074,140 bpm
3.349531889,140 bpm
3.3667020798,140 bpm
3.3997440338,140 bpm
3.4435122013,140 bpm
3.4524760246,140 bpm
3.4848821163,140 bpm
3.6494390965,140 bpm
3.7860100269,140 bpm
4.3730828762,140 bpm
0.901214838,180 bpm
0.9167001247,180 bpm
0.9167821407,180 bpm
0.9501478672,180 bpm
0.9502210617,180 bpm
0.9504740238,180 bpm
0.966878891,180 bpm
0.9835000038,180 bpm
0.9967470169,180 bpm
1.0000770092,180 bpm
1.0001959801,180 bpm
1.0002839565,180 bpm
1.0163700581,180 bpm
1.0166158676,180 bpm
1.0166959763,180 bpm
1.0166959763,180 bpm
1.0326828957,180 bpm
1.0332970619,180 bpm
1.0335509777,180 bpm
1.0336198807,180 bpm
1.0337231159,180 bpm
1.0337688923,180 bpm
1.048593998,180 bpm
1.0503520966,180 bpm
1.0665919781,180 bpm
1.0827970505,180 bpm
1.0829780102,180 bpm
1.0835180283,180 bpm
1.0836310387,180 bpm
1.0985078812,180 bpm
1.0997271538,180 bpm
1.1000590324,180 bpm
1.1000630856,180 bpm
1.1001470089,180 bpm
1.1002299786,180 bpm
1.10029006,180 bpm
1.1162469387,180 bpm
1.1165978909,180 bpm
1.1167330742,180 bpm
1.1167590618,180 bpm
1.1169288158,180 bpm
1.1171038151,180 bpm
1.1257641316,180 bpm
1.1310620308,180 bpm
1.1314878464,180 bpm
1.1331532002,180 bpm
1.1331841946,180 bpm
1.1336240768,180 bpm
1.1497879028,180 bpm
1.1500051022,180 bpm
1.1500840187,180 bpm
1.1500861645,180 bpm
1.1500861645,180 bpm
1.1501300335,180 bpm
1.1501460075,180 bpm
1.150454998,180 bpm
1.1666560173,180 bpm
1.1667180061,180 bpm
1.166738987,180 bpm
1.1756169796,180 bpm
1.1832001209,180 bpm
1.1832718849,180 bpm
1.1833159924,180 bpm
1.1833469868,180 bpm
1.1834299564,180 bpm
1.1835019589,180 bpm
1.1944110394,180 bpm
1.1996529102,180 bpm
1.199710846,180 bpm
1.199821949,180 bpm
1.2000129223,180 bpm
1.2000360489,180 bpm
1.2001690865,180 bpm
1.2165460587,180 bpm
1.2165689468,180 bpm
1.2166152,180 bpm
1.2167270184,180 bpm
1.2169439793,180 bpm
1.2290661335,180 bpm
1.2290799618,180 bpm
1.2325439453,180 bpm
1.2332880497,180 bpm
1.2333810329,180 bpm
1.2334091663,180 bpm
1.2334609032,180 bpm
1.2334721088,180 bpm
1.2461149693,180 bpm
1.2500059605,180 bpm
1.2501041889,180 bpm
1.2501449585,180 bpm
1.2548260689,180 bpm
1.2617549896,180 bpm
1.2621591091,180 bpm
1.2638101578,180 bpm
1.2666389942,180 bpm
1.2667500973,180 bpm
1.2669370174,180 bpm
1.2794120312,180 bpm
1.2831468582,180 bpm
1.2831599712,180 bpm
1.283190012,180 bpm
1.2833859921,180 bpm
1.2834222317,180 bpm
1.2835888863,180 bpm
1.2999489307,180 bpm
1.3035471439,180 bpm
1.3147070408,180 bpm
1.3155210018,180 bpm
1.3163669109,180 bpm
1.3165531158,180 bpm
1.3166160584,180 bpm
1.3167200089,180 bpm
1.3167572022,180 bpm
1.3168458939,180 bpm
1.3194539547,180 bpm
1.3211429119,180 bpm
1.3212099075,180 bpm
1.3279910088,180 bpm
1.3307709694,180 bpm
1.3320598602,180 bpm
1.3333439827,180 bpm
1.3334290981,180 bpm
1.3334510326,180 bpm
1.3335158825,180 bpm
1.3336129189,180 bpm
1.3493611813,180 bpm
1.3495130539,180 bpm
1.349601984,180 bpm
1.3498578072,180 bpm
1.3499789238,180 bpm
1.350055933,180 bpm
1.3501269817,180 bpm
