Reaction.Time,Tempo 
0.983947992,100 bpm
1.000157118,100 bpm
1.049893141,100 bpm
1.049928904,100 bpm
1.067255974,100 bpm
1.100078821,100 bpm
1.100228071,100 bpm
1.166739941,100 bpm
1.21663785,100 bpm
1.216755152,100 bpm
1.400070906,100 bpm
1.615435839,100 bpm
1.699676037,100 bpm
1.733415127,100 bpm
1.783379078,100 bpm
1.882893085,100 bpm
1.88322401,100 bpm
1.883458138,100 bpm
2.166371107,100 bpm
2.383158922,100 bpm
2.400268793,100 bpm
2.433294058,100 bpm
2.633589029,100 bpm
1.38350296,100 bpm
1.050153017,100 bpm
1.066678047,100 bpm
1.116777897,100 bpm
1.116840839,100 bpm
1.133300066,100 bpm
1.133320093,100 bpm
1.166716099,100 bpm
1.183542967,100 bpm
1.183650017,100 bpm
1.200192928,100 bpm
1.216677189,100 bpm
1.233307123,100 bpm
1.250090837,100 bpm
1.250138044,100 bpm
1.267044067,100 bpm
1.283030987,100 bpm
1.333747149,100 bpm
1.34998703,100 bpm
1.41646719,100 bpm
1.450031996,100 bpm
1.483456135,100 bpm
1.500128984,100 bpm
1.650519848,100 bpm
1.833415031,100 bpm
0.995913982,100 bpm
1.050008059,100 bpm
1.08344698,100 bpm
1.116724014,100 bpm
1.133416891,100 bpm
1.183037996,100 bpm
1.183326006,100 bpm
1.183398008,100 bpm
1.216270924,100 bpm
1.233446836,100 bpm
1.233547926,100 bpm
1.266315937,100 bpm
1.283257961,100 bpm
1.299881935,100 bpm
1.349919081,100 bpm
1.483428955,100 bpm
1.549694061,100 bpm
1.600300074,100 bpm
1.616547108,100 bpm
1.617026091,100 bpm
1.649955034,100 bpm
1.949041843,100 bpm
2.01698494,100 bpm
0.600348949,100 bpm
1.582261086,100 bpm
0.983973026,100 bpm
1.083429098,100 bpm
1.083557129,100 bpm
1.099979162,100 bpm
1.150228977,100 bpm
1.15025115,100 bpm
1.182458162,100 bpm
1.20049715,100 bpm
1.216639996,100 bpm
1.216801882,100 bpm
1.25,100 bpm
1.300086975,100 bpm
1.333475113,100 bpm
1.333489895,100 bpm
1.366845846,100 bpm
1.450016975,100 bpm
1.633712053,100 bpm
1.650238037,100 bpm
